date,CR-V22-High-Vis-Yellow-5XL,CR-V22-High-Vis-Yellow-3XL,CR-V22-High-Vis-Yellow-2XL,CR-V22-High-Vis-Yellow-XL,CR-V22-High-Vis-Yellow-L,CR-V22-High-Vis-Yellow-M,CR-V22-High-Vis-Yellow-S,CR-V22-High-Vis-Yellow-XS
12/05/2022,0,0,0,0,0,0,0,0
13/05/2022,0,0,0,0,0,0,0,0
14/05/2022,0,0,0,0,0,0,0,0
15/05/2022,0,0,0,0,0,0,0,0
16/05/2022,0,0,0,0,0,0,0,0
17/05/2022,0,0,0,0,0,0,0,0
18/05/2022,0,0,0,0,0,0,0,0
19/05/2022,0,0,0,0,0,0,0,0
20/05/2022,0,0,0,0,0,0,0,0
21/05/2022,0,0,0,0,0,0,0,0
22/05/2022,0,0,0,0,0,0,0,0
23/05/2022,0,0,0,0,0,0,0,0
24/05/2022,0,0,0,0,0,0,0,0
25/05/2022,0,0,0,0,0,0,0,0
26/05/2022,0,0,0,0,0,0,0,0
27/05/2022,0,0,0,0,0,0,0,0
28/05/2022,0,0,0,0,0,0,0,0
29/05/2022,0,0,0,0,0,0,0,0
30/05/2022,0,0,0,0,0,0,0,0
31/05/2022,0,0,0,0,0,0,0,0
1/06/2022,0,0,0,0,0,0,0,0
2/06/2022,0,0,0,0,0,0,0,0
3/06/2022,0,0,0,0,0,0,0,0
4/06/2022,0,0,0,0,0,0,0,0
5/06/2022,0,0,0,0,0,0,0,0
6/06/2022,0,0,0,0,0,0,0,0
7/06/2022,0,0,0,0,0,0,0,0
8/06/2022,0,0,0,0,0,0,0,0
9/06/2022,0,0,0,0,0,0,0,0
10/06/2022,0,0,0,0,0,0,0,0
11/06/2022,0,0,0,0,0,0,0,0
12/06/2022,0,0,0,0,0,0,0,0
13/06/2022,0,0,0,0,0,0,0,0
14/06/2022,0,0,0,0,0,0,0,0
15/06/2022,0,0,0,0,0,0,0,0
16/06/2022,0,0,0,0,0,0,0,0
17/06/2022,0,0,0,0,0,0,0,0
18/06/2022,0,0,0,0,0,0,0,0
19/06/2022,0,0,0,0,0,0,0,0
20/06/2022,0,0,0,0,0,0,0,0
21/06/2022,0,0,0,0,0,0,0,0
22/06/2022,0,0,0,0,0,0,0,0
23/06/2022,0,0,0,0,0,0,0,0
24/06/2022,0,0,0,0,0,0,0,0
25/06/2022,0,0,0,0,0,0,0,0
26/06/2022,0,0,0,0,0,0,0,0
27/06/2022,0,0,0,0,0,0,0,0
28/06/2022,0,0,0,0,0,0,0,0
29/06/2022,0,0,0,0,0,0,0,0
30/06/2022,0,0,0,0,15,15,0,0
1/07/2022,0,0,0,0,0,0,0,0
2/07/2022,0,0,0,0,0,0,0,0
3/07/2022,0,0,0,0,0,0,0,0
4/07/2022,0,0,0,0,0,0,0,0
5/07/2022,0,0,0,200,200,0,0,0
6/07/2022,0,0,0,0,0,0,0,0
7/07/2022,0,0,0,0,0,0,0,0
8/07/2022,0,0,0,0,0,0,0,0
9/07/2022,0,0,0,4,4,4,4,0
10/07/2022,0,0,0,0,0,0,0,0
11/07/2022,0,0,0,0,0,0,0,0
12/07/2022,0,0,0,0,2,0,0,0
13/07/2022,0,0,0,0,0,0,0,0
14/07/2022,0,0,0,0,0,0,0,0
15/07/2022,0,0,0,0,0,0,0,0
16/07/2022,0,0,0,3,3,3,3,0
17/07/2022,0,0,0,0,0,0,0,0
18/07/2022,0,0,0,3,3,3,0,0
19/07/2022,0,0,0,2,2,0,0,0
20/07/2022,0,0,0,0,0,0,0,0
21/07/2022,0,0,0,0,0,0,0,0
22/07/2022,0,0,0,6,8,11,11,0
23/07/2022,0,0,0,0,0,0,0,0
24/07/2022,0,0,0,0,0,0,0,0
25/07/2022,0,0,0,80,0,0,0,0
26/07/2022,0,0,0,14,16,10,0,0
27/07/2022,0,0,0,0,0,0,0,0
28/07/2022,0,0,0,0,0,0,0,0
29/07/2022,0,0,0,0,0,0,0,0
30/07/2022,0,0,0,0,0,0,0,0
31/07/2022,0,0,0,0,0,0,0,0
1/08/2022,0,0,0,0,2,0,0,0
2/08/2022,0,0,20,0,0,20,2,0
3/08/2022,0,6,8,12,12,7,0,0
4/08/2022,0,0,0,0,0,0,0,0
5/08/2022,0,0,0,0,0,0,0,0
6/08/2022,0,0,6,9,6,1,5,0
7/08/2022,0,0,0,0,0,0,0,0
8/08/2022,0,0,30,0,0,0,0,0
9/08/2022,0,0,0,0,0,0,0,0
10/08/2022,0,0,0,0,0,0,0,0
11/08/2022,0,0,0,0,0,0,0,0
12/08/2022,0,0,0,0,0,0,0,0
13/08/2022,0,0,0,0,0,0,0,0
14/08/2022,0,0,0,0,0,0,0,0
15/08/2022,0,0,0,0,0,0,0,0
16/08/2022,0,0,0,0,0,0,0,0
17/08/2022,0,0,0,0,0,0,0,0
18/08/2022,1,20,0,53,12,32,6,5
19/08/2022,0,0,0,0,0,0,0,0
20/08/2022,0,0,0,0,0,0,0,0
21/08/2022,0,0,0,0,0,0,0,0
22/08/2022,0,0,0,0,0,0,0,0
23/08/2022,0,0,20,10,20,10,0,0
24/08/2022,0,0,0,0,0,0,0,0
25/08/2022,0,0,0,0,0,0,0,0
26/08/2022,0,0,0,0,0,0,0,0
27/08/2022,0,0,0,0,0,0,0,0
28/08/2022,0,2,2,6,2,3,2,3
29/08/2022,0,0,0,0,0,6,0,0
30/08/2022,0,0,12,0,48,24,14,0
31/08/2022,0,0,0,0,0,0,0,0
1/09/2022,0,0,0,0,0,0,0,0
2/09/2022,0,0,0,0,0,0,0,0
3/09/2022,0,0,0,0,0,0,0,0
4/09/2022,0,0,2,3,6,4,0,0
5/09/2022,0,0,0,0,11,11,0,0
6/09/2022,0,0,0,0,0,0,0,0
7/09/2022,15,20,15,87,128,21,10,0
8/09/2022,0,0,0,5,0,0,10,0
9/09/2022,0,0,0,0,0,0,0,0
10/09/2022,0,0,0,0,3,1,1,0
11/09/2022,0,0,0,0,0,0,0,0
12/09/2022,0,0,0,5,20,10,0,0
13/09/2022,0,0,0,0,0,0,0,0
14/09/2022,0,0,0,0,1,3,1,0
15/09/2022,0,0,0,3,5,5,3,0
16/09/2022,0,0,0,0,0,0,0,0
17/09/2022,0,0,0,0,0,0,0,0
18/09/2022,0,0,0,0,0,0,0,0
19/09/2022,2,26,40,44,68,50,35,0
20/09/2022,0,0,0,0,0,0,0,0
21/09/2022,1,0,1,0,0,2,0,0
22/09/2022,0,0,0,0,12,8,0,0
23/09/2022,0,0,0,0,0,0,0,0
24/09/2022,2,4,4,8,16,21,4,0
25/09/2022,0,0,0,0,0,0,0,0
26/09/2022,0,0,0,0,0,0,0,0
27/09/2022,0,0,0,0,3,0,10,19
28/09/2022,0,0,0,2,8,0,0,0
29/09/2022,0,0,0,5,9,9,9,0
30/09/2022,0,0,0,0,0,0,0,0
1/10/2022,0,0,0,0,0,0,0,0
2/10/2022,0,0,0,1,3,3,0,0
3/10/2022,0,5,4,9,13,18,18,4
4/10/2022,0,0,0,0,30,32,33,0
5/10/2022,1,2,19,23,24,10,0,1
6/10/2022,1,1,0,0,0,0,0,0
7/10/2022,0,0,0,0,0,0,0,0
8/10/2022,0,0,0,0,0,0,0,0
9/10/2022,0,0,0,0,250,0,0,0
10/10/2022,0,0,10,10,40,15,15,0
11/10/2022,0,0,0,0,0,0,0,0
12/10/2022,0,0,0,0,5,0,0,0
13/10/2022,0,0,0,0,0,0,0,0
14/10/2022,0,0,0,0,0,0,0,0
15/10/2022,0,0,3,10,10,10,7,0
16/10/2022,0,0,0,12,43,23,12,0
17/10/2022,0,0,0,0,10,0,0,0
18/10/2022,0,0,0,0,0,0,0,0
19/10/2022,0,0,0,5,5,0,0,0
20/10/2022,5,0,5,35,285,25,0,0
21/10/2022,0,0,0,0,0,0,0,0
22/10/2022,0,0,0,0,0,0,0,0
23/10/2022,0,0,24,41,45,30,30,0
24/10/2022,0,0,0,0,0,0,2,2
25/10/2022,0,0,0,10,20,0,0,0
26/10/2022,0,0,48,20,40,0,0,0
27/10/2022,0,1,2,10,25,18,5,0
28/10/2022,0,0,0,0,0,0,0,0
29/10/2022,0,0,0,0,15,0,0,0
30/10/2022,0,25,25,25,0,0,0,0
31/10/2022,0,0,0,0,0,0,0,0
1/11/2022,0,0,23,9,32,12,23,0
2/11/2022,0,0,0,1,3,2,4,0
3/11/2022,0,0,10,40,50,20,0,0
4/11/2022,0,0,0,0,0,0,0,0
5/11/2022,0,0,0,0,0,0,0,0
6/11/2022,0,0,0,20,16,16,0,0
7/11/2022,0,0,2,5,19,19,0,0
8/11/2022,0,0,0,2,6,7,3,0
9/11/2022,0,0,0,0,12,0,0,0
10/11/2022,0,0,0,0,0,0,0,0
11/11/2022,0,0,0,0,0,0,0,0
12/11/2022,0,0,0,0,0,0,0,0
13/11/2022,0,0,0,0,0,0,0,0
14/11/2022,0,0,0,0,20,1,0,0
15/11/2022,0,0,3,73,94,193,10,0
16/11/2022,0,0,0,4,4,0,0,0
17/11/2022,0,0,0,9,17,28,10,0
18/11/2022,0,0,0,0,0,0,0,0
19/11/2022,0,0,0,0,0,0,0,0
20/11/2022,5,5,15,42,42,24,13,5
21/11/2022,0,0,0,50,0,0,0,0
22/11/2022,0,0,0,0,0,0,0,0
23/11/2022,0,0,0,70,90,75,50,0
24/11/2022,0,0,0,0,0,0,0,0
25/11/2022,0,0,10,33,9,0,0,0
26/11/2022,0,0,0,0,0,1,0,0
27/11/2022,0,0,0,0,1,0,0,0
28/11/2022,0,0,0,0,10,0,0,0
29/11/2022,0,0,0,0,0,0,0,0
30/11/2022,0,0,10,10,10,10,0,0
1/12/2022,0,0,0,0,0,0,0,0
2/12/2022,0,0,0,0,0,0,0,0
3/12/2022,0,0,0,6,3,3,0,0
4/12/2022,0,0,0,8,16,40,16,0
5/12/2022,0,0,0,5,10,10,0,0
6/12/2022,0,0,0,0,0,0,0,0
7/12/2022,0,0,0,10,10,0,0,0
8/12/2022,0,0,0,0,0,0,0,0
9/12/2022,0,0,0,0,0,0,0,0
10/12/2022,0,0,0,0,0,0,0,0
11/12/2022,0,0,0,0,0,0,0,0
12/12/2022,0,0,0,0,100,65,0,0
13/12/2022,0,0,0,0,0,0,0,0
14/12/2022,0,3,2,15,57,20,10,0
15/12/2022,0,0,0,0,0,0,0,0
16/12/2022,0,0,0,0,0,0,0,0
17/12/2022,0,0,5,5,0,0,0,0
18/12/2022,0,0,0,2,4,4,2,0
19/12/2022,0,1,0,0,3,2,10,5
20/12/2022,0,0,0,0,10,10,10,0
21/12/2022,0,0,0,0,0,0,0,0
22/12/2022,0,0,0,0,0,0,0,0
23/12/2022,0,0,0,0,0,0,0,0
24/12/2022,0,0,0,0,0,0,0,0
25/12/2022,0,0,0,0,0,0,0,0
26/12/2022,0,0,0,0,0,0,0,0
27/12/2022,0,0,7,23,12,0,0,0
28/12/2022,0,0,0,40,75,45,10,0
29/12/2022,0,0,0,0,0,0,0,0
30/12/2022,0,0,0,0,0,0,0,0
31/12/2022,0,0,0,0,0,0,0,0
1/01/2023,0,0,0,0,0,0,0,0
2/01/2023,0,0,0,6,6,0,0,0
3/01/2023,0,0,0,0,0,0,0,0
4/01/2023,0,0,0,0,0,0,0,0
5/01/2023,0,0,0,0,0,0,0,0
6/01/2023,0,0,0,0,0,0,0,0
7/01/2023,0,0,0,0,0,0,0,0
8/01/2023,0,0,1,1,7,10,9,2
9/01/2023,0,0,13,24,20,25,18,0
10/01/2023,0,0,0,25,25,0,0,0
11/01/2023,0,0,0,30,40,0,0,0
12/01/2023,0,0,0,0,0,0,0,0
13/01/2023,0,0,0,0,0,0,0,0
14/01/2023,0,0,0,0,0,0,0,0
15/01/2023,0,3,0,15,28,3,1,0
16/01/2023,0,0,0,0,3,5,6,0
17/01/2023,0,0,5,5,15,0,0,0
18/01/2023,0,0,0,25,77,0,25,0
19/01/2023,0,0,0,0,37,3,0,0
20/01/2023,0,0,0,0,0,0,0,0
21/01/2023,0,0,0,0,0,0,0,0
22/01/2023,0,0,0,5,18,18,15,0
23/01/2023,0,0,0,20,10,0,0,0
24/01/2023,0,0,0,0,20,0,0,0
25/01/2023,0,0,0,0,0,0,0,0
26/01/2023,0,0,0,3,6,6,5,0
27/01/2023,0,0,0,0,0,0,0,0
28/01/2023,0,0,2,52,2,2,2,0
29/01/2023,0,0,0,5,16,42,1,0
30/01/2023,0,0,7,15,30,24,10,0
31/01/2023,0,20,29,15,20,21,6,0
1/02/2023,2,3,15,20,20,5,5,0
2/02/2023,0,0,0,0,0,0,0,0
3/02/2023,0,0,0,0,0,0,0,0
4/02/2023,1,10,3,112,208,41,2,0
5/02/2023,0,3,0,2,15,3,17,0
6/02/2023,0,0,10,38,15,32,0,0
7/02/2023,0,0,0,31,26,54,11,0
8/02/2023,0,0,0,0,1,1,0,0
9/02/2023,0,0,3,5,16,6,0,0
10/02/2023,0,0,0,0,0,0,0,0
11/02/2023,0,0,0,80,0,0,0,0
12/02/2023,0,0,0,0,0,0,0,0
13/02/2023,0,9,7,2,2,4,0,0
14/02/2023,0,0,0,0,4,8,0,0
15/02/2023,0,0,0,26,7,16,12,0
16/02/2023,0,0,0,0,3,3,0,7
17/02/2023,0,0,0,8,4,5,5,0
18/02/2023,0,0,0,30,40,0,0,0
19/02/2023,0,0,0,21,34,36,4,0
20/02/2023,0,0,2,59,61,90,32,5
21/02/2023,0,5,15,15,45,20,20,10
22/02/2023,1,1,1,13,22,25,10,14
23/02/2023,0,0,0,42,0,2,2,0
24/02/2023,0,0,0,1,12,12,5,0
25/02/2023,0,0,0,0,0,0,0,0
26/02/2023,0,0,0,145,125,0,0,0
27/02/2023,0,1,2,2,1,0,0,0
28/02/2023,0,0,0,10,10,13,0,0
1/03/2023,0,0,0,10,81,16,6,0
2/03/2023,0,0,0,37,25,0,0,0
3/03/2023,0,0,0,0,0,0,0,0
4/03/2023,0,0,0,0,0,0,0,0
5/03/2023,0,0,23,10,22,22,12,0
6/03/2023,0,0,0,0,50,0,0,0
7/03/2023,0,0,0,0,3,4,3,0
8/03/2023,0,3,5,20,33,19,12,5
9/03/2023,0,0,0,0,0,0,0,0
10/03/2023,0,0,0,0,0,0,0,0
11/03/2023,0,0,4,16,9,14,5,0
12/03/2023,0,0,0,0,0,0,0,0
13/03/2023,0,0,0,0,0,0,0,0
14/03/2023,0,0,0,0,20,0,0,0
15/03/2023,0,0,80,61,81,61,30,0
16/03/2023,0,0,5,5,15,5,0,0
17/03/2023,0,0,0,0,0,0,0,0
18/03/2023,0,0,0,0,0,0,0,0
19/03/2023,0,0,12,0,15,4,3,0
20/03/2023,0,0,0,10,26,16,0,0
21/03/2023,0,0,0,36,0,0,0,0
22/03/2023,0,0,0,0,1,2,1,0
23/03/2023,0,0,0,0,25,0,0,0
24/03/2023,0,0,0,0,25,25,25,10
25/03/2023,0,0,0,0,0,0,0,0
26/03/2023,0,10,0,12,10,10,0,0
27/03/2023,0,0,0,50,50,0,0,0
28/03/2023,0,0,5,105,82,30,25,25
29/03/2023,1,5,18,64,19,7,1,0
30/03/2023,0,0,0,0,0,5,5,0
31/03/2023,0,0,0,0,0,0,0,0
1/04/2023,0,0,0,0,0,0,0,0
2/04/2023,0,0,6,0,0,0,0,0
3/04/2023,0,0,0,0,0,0,0,0
4/04/2023,1,0,0,10,12,10,0,0
5/04/2023,0,0,0,1,0,3,4,0
6/04/2023,0,0,0,0,0,0,0,0
7/04/2023,0,0,0,0,0,0,0,0
8/04/2023,0,0,0,0,0,0,0,0
9/04/2023,0,0,3,1,3,0,0,0
10/04/2023,0,0,0,0,0,0,0,0
11/04/2023,0,0,0,1,0,0,0,0
12/04/2023,5,30,67,90,57,39,12,0
13/04/2023,0,0,0,0,12,0,0,0
14/04/2023,0,0,0,0,0,0,0,0
15/04/2023,0,0,1,5,0,0,0,0
16/04/2023,0,0,0,10,0,2,2,0
17/04/2023,0,10,7,35,54,30,0,0
18/04/2023,0,0,0,0,1,0,0,0
19/04/2023,0,2,2,0,2,20,20,0
20/04/2023,0,0,0,0,30,0,0,0
21/04/2023,0,0,0,0,0,0,0,0
22/04/2023,0,2,5,5,3,0,0,0
23/04/2023,0,0,1,1,0,0,0,0
24/04/2023,0,0,0,0,0,0,0,0
25/04/2023,0,0,0,0,0,0,0,0
26/04/2023,0,0,0,0,12,5,0,0
27/04/2023,0,0,0,0,10,0,0,0
28/04/2023,0,0,0,0,0,0,0,0
29/04/2023,0,0,0,0,0,1,0,0
30/04/2023,0,0,0,0,0,0,0,0
1/05/2023,0,0,0,5,25,0,0,0
2/05/2023,0,0,15,5,55,15,0,0
3/05/2023,0,0,0,1,10,60,0,0
4/05/2023,0,0,1,22,24,5,6,2
5/05/2023,0,0,0,0,0,0,0,0
6/05/2023,0,0,0,0,0,0,0,0
7/05/2023,0,0,0,0,0,0,0,0
8/05/2023,0,0,0,0,0,0,0,0
9/05/2023,0,0,0,0,0,0,0,0
10/05/2023,0,0,0,2,78,31,19,3
11/05/2023,0,0,0,25,25,0,0,0
12/05/2023,0,0,0,0,0,0,0,0
13/05/2023,0,0,0,0,20,0,0,0
14/05/2023,0,0,5,10,15,0,0,0
15/05/2023,0,0,0,0,30,0,0,0
16/05/2023,0,0,0,12,20,0,0,100
17/05/2023,0,0,0,0,0,0,0,0
18/05/2023,0,0,0,0,50,50,0,0
19/05/2023,0,0,0,0,0,0,0,0
20/05/2023,0,0,0,0,0,0,0,0
21/05/2023,0,0,0,15,14,13,4,0
22/05/2023,0,0,6,6,8,0,0,0
23/05/2023,5,15,15,25,30,11,9,0
24/05/2023,0,0,0,0,0,0,0,0
25/05/2023,1,0,4,10,80,15,8,0
26/05/2023,0,0,0,0,0,0,0,0
27/05/2023,0,0,25,79,129,4,29,0
28/05/2023,4,4,4,4,79,2,2,0
29/05/2023,0,0,0,0,0,0,0,0
30/05/2023,0,0,0,4,24,7,5,0
31/05/2023,0,0,0,0,0,20,20,0
1/06/2023,0,0,0,0,40,0,0,0
2/06/2023,0,0,0,0,0,0,0,0
3/06/2023,0,0,0,0,0,0,0,0
4/06/2023,0,0,0,0,0,0,0,0
5/06/2023,0,0,0,45,15,15,0,0
6/06/2023,0,0,0,0,4,1,0,20
7/06/2023,0,0,0,10,10,10,0,0
8/06/2023,0,0,0,6,13,16,7,0
9/06/2023,0,0,0,0,0,0,0,0
10/06/2023,0,0,0,0,0,0,0,0
11/06/2023,0,6,3,23,23,10,0,0
12/06/2023,0,0,0,14,65,0,0,0
13/06/2023,0,0,0,0,0,0,0,0
14/06/2023,2,0,15,27,56,35,1,0
15/06/2023,0,0,0,0,6,6,0,0
16/06/2023,0,0,0,0,0,0,0,0
17/06/2023,0,1,0,1,5,0,0,0
18/06/2023,0,0,20,26,29,101,15,0
19/06/2023,0,0,15,110,112,90,20,0
20/06/2023,0,1,2,7,6,4,2,0
21/06/2023,0,0,15,15,50,40,30,0
22/06/2023,0,0,20,0,0,0,0,0
23/06/2023,0,0,0,0,0,0,0,0
24/06/2023,5,0,0,45,0,0,0,0
25/06/2023,0,0,0,0,0,0,0,0
26/06/2023,0,0,10,0,20,10,10,0
27/06/2023,0,0,2,4,3,8,0,0
28/06/2023,0,0,0,60,0,1,1,1
29/06/2023,0,0,0,0,0,0,0,0
30/06/2023,0,0,0,0,0,0,0,0
1/07/2023,0,0,0,2,11,2,2,2
2/07/2023,0,0,13,0,12,0,0,0
3/07/2023,0,0,0,0,0,0,0,0
4/07/2023,0,0,60,0,0,0,0,0
5/07/2023,0,50,52,116,70,8,6,0
6/07/2023,0,0,0,0,0,0,0,0
7/07/2023,0,0,0,0,0,0,0,0
8/07/2023,0,0,0,0,0,0,0,0
9/07/2023,0,0,0,0,0,0,0,0
10/07/2023,0,0,0,0,0,0,0,0
11/07/2023,0,0,0,4,4,4,0,0
12/07/2023,8,0,10,10,1,0,0,0
13/07/2023,0,0,0,0,29,4,2,0
14/07/2023,0,0,0,0,0,0,0,0
15/07/2023,0,0,0,0,0,0,0,0
16/07/2023,0,0,0,0,0,0,0,0
17/07/2023,0,0,0,0,0,0,0,0
