date,CR-V32-High-Vis-Yellow-7XL,CR-V32-High-Vis-Yellow-5XL,CR-V32-High-Vis-Yellow-3XL,CR-V32-High-Vis-Yellow-2XL,CR-V32-High-Vis-Yellow-XL,CR-V32-High-Vis-Yellow-L,CR-V32-High-Vis-Yellow-M,CR-V32-High-Vis-Yellow-S,CR-V32-High-Vis-Yellow-XS
18/01/2022,0,0,0,0,0,0,0,0,0
19/01/2022,0,0,0,0,0,0,0,0,0
20/01/2022,0,0,0,0,0,0,0,0,0
21/01/2022,0,0,0,0,0,0,0,0,0
22/01/2022,0,0,0,0,0,0,0,0,0
23/01/2022,0,0,0,0,0,0,0,0,0
24/01/2022,0,0,0,0,0,0,0,0,0
25/01/2022,0,0,0,0,0,0,0,0,0
26/01/2022,0,0,0,0,0,0,0,0,0
27/01/2022,0,0,0,0,0,0,0,0,0
28/01/2022,0,0,0,0,0,0,0,0,0
29/01/2022,0,0,0,0,0,0,0,0,0
30/01/2022,0,0,0,0,0,0,0,0,0
31/01/2022,0,0,0,0,0,0,0,0,0
01/02/2022,0,0,0,0,0,0,0,0,0
02/02/2022,0,0,0,0,0,0,0,0,0
03/02/2022,0,0,0,0,0,0,0,0,0
04/02/2022,0,0,0,0,0,0,0,0,0
05/02/2022,0,0,0,0,0,0,0,0,0
06/02/2022,0,0,0,0,0,0,0,0,0
07/02/2022,0,0,0,0,0,0,0,0,0
08/02/2022,0,0,0,0,0,0,0,0,0
09/02/2022,0,0,0,0,0,0,0,0,0
10/02/2022,0,0,0,0,0,0,0,0,0
11/02/2022,0,0,0,0,0,0,0,0,0
12/02/2022,0,0,0,0,0,0,0,0,0
13/02/2022,0,0,0,0,0,0,0,0,0
14/02/2022,0,0,0,0,0,0,0,0,0
15/02/2022,0,0,0,0,0,0,0,0,0
16/02/2022,0,0,0,0,0,0,0,0,0
17/02/2022,0,0,0,0,0,0,0,0,0
18/02/2022,0,0,0,0,0,0,0,0,0
19/02/2022,0,0,0,0,0,0,0,0,0
20/02/2022,0,0,0,0,0,0,0,0,0
21/02/2022,0,0,0,0,0,0,0,0,0
22/02/2022,0,0,0,0,0,0,0,0,0
23/02/2022,0,0,0,0,0,0,0,0,0
24/02/2022,0,0,0,0,0,0,0,0,0
25/02/2022,0,0,0,0,0,0,0,0,0
26/02/2022,0,0,0,0,0,0,0,0,0
27/02/2022,0,0,0,0,0,0,0,0,0
28/02/2022,0,0,0,0,0,0,0,0,0
01/03/2022,0,0,0,0,0,0,0,0,0
02/03/2022,0,0,0,0,0,0,0,0,0
03/03/2022,0,0,0,0,0,0,0,0,0
04/03/2022,0,0,0,0,0,0,0,0,0
05/03/2022,0,0,0,0,0,0,0,0,0
06/03/2022,0,0,0,0,0,0,0,0,0
07/03/2022,0,0,0,0,0,0,0,0,0
08/03/2022,0,0,0,0,0,0,0,0,0
09/03/2022,0,0,0,0,0,0,0,0,0
10/03/2022,0,0,0,0,0,0,0,0,0
11/03/2022,0,0,0,0,0,0,0,0,0
12/03/2022,0,0,0,0,0,0,0,0,0
13/03/2022,0,0,0,0,0,0,0,0,0
14/03/2022,0,0,0,0,0,0,0,0,0
15/03/2022,0,0,0,0,0,0,0,0,0
16/03/2022,0,0,0,0,0,0,0,0,0
17/03/2022,0,0,0,0,0,0,0,0,0
18/03/2022,0,0,0,0,0,0,0,0,0
19/03/2022,0,0,0,0,0,0,0,0,0
20/03/2022,0,0,0,0,0,0,0,0,0
21/03/2022,0,0,0,0,0,0,0,0,0
22/03/2022,0,0,0,0,0,0,0,0,0
23/03/2022,0,0,0,0,0,0,0,0,0
24/03/2022,0,0,0,0,0,0,0,0,0
25/03/2022,0,0,0,0,0,0,0,0,0
26/03/2022,0,0,0,0,0,0,0,0,0
27/03/2022,0,0,0,0,0,0,0,0,0
28/03/2022,0,0,0,0,0,0,0,0,0
29/03/2022,0,0,0,0,0,0,0,0,0
30/03/2022,0,0,0,0,0,0,0,0,0
31/03/2022,0,0,0,0,0,0,0,0,0
01/04/2022,0,0,0,0,0,0,0,0,0
02/04/2022,0,0,0,0,0,0,0,0,0
03/04/2022,0,0,0,0,0,0,0,0,0
04/04/2022,0,0,0,0,0,0,0,0,0
05/04/2022,0,0,0,0,0,0,0,0,0
06/04/2022,0,0,0,0,0,0,0,0,0
07/04/2022,0,0,0,0,0,0,0,0,0
08/04/2022,0,0,0,0,0,0,0,0,0
09/04/2022,0,0,0,0,0,0,0,0,0
10/04/2022,0,0,0,0,0,0,0,0,0
11/04/2022,0,0,0,0,0,0,0,0,0
12/04/2022,0,0,0,0,0,0,0,0,0
13/04/2022,0,0,0,0,0,0,0,0,0
14/04/2022,0,0,0,0,0,0,0,0,0
15/04/2022,0,0,0,0,0,0,0,0,0
16/04/2022,0,0,0,0,0,0,0,0,0
17/04/2022,0,0,0,0,0,0,0,0,0
18/04/2022,0,0,0,0,0,0,0,0,0
19/04/2022,0,0,0,0,0,0,0,0,0
20/04/2022,0,0,0,0,0,0,0,0,0
21/04/2022,0,0,0,0,0,0,0,0,0
22/04/2022,0,0,0,0,0,0,0,0,0
23/04/2022,0,0,0,0,0,0,0,0,0
24/04/2022,0,0,0,0,0,0,0,0,0
25/04/2022,0,0,0,0,0,0,0,0,0
26/04/2022,0,0,0,0,0,0,0,0,0
27/04/2022,0,0,0,0,0,0,0,0,0
28/04/2022,0,0,0,0,0,0,0,0,0
29/04/2022,0,0,0,0,0,0,0,0,0
30/04/2022,0,0,0,0,0,0,0,0,0
01/05/2022,0,0,0,0,0,0,0,0,0
02/05/2022,0,0,0,0,0,0,0,0,0
03/05/2022,0,0,0,0,0,0,0,0,0
04/05/2022,0,0,0,0,0,0,0,0,0
05/05/2022,0,0,0,0,0,0,0,0,0
06/05/2022,0,0,0,0,0,0,0,0,0
07/05/2022,0,0,0,0,0,0,0,0,0
08/05/2022,0,0,0,0,0,0,0,0,0
09/05/2022,0,0,0,0,0,0,0,0,0
10/05/2022,0,0,0,0,0,0,0,0,0
11/05/2022,0,0,0,0,0,0,0,0,0
12/05/2022,0,0,0,0,0,0,0,0,0
13/05/2022,0,0,0,0,0,0,0,0,0
14/05/2022,0,0,0,0,0,0,0,0,0
15/05/2022,0,0,0,0,0,0,0,0,0
16/05/2022,0,0,0,0,0,0,0,0,0
17/05/2022,0,0,0,0,0,0,0,0,0
18/05/2022,0,0,0,0,0,0,0,0,0
19/05/2022,0,0,0,0,0,0,0,0,0
20/05/2022,0,0,0,0,0,0,0,0,0
21/05/2022,0,0,0,0,0,0,0,0,0
22/05/2022,0,0,0,0,0,0,0,0,0
23/05/2022,0,0,0,0,0,0,0,0,0
24/05/2022,0,0,0,0,0,0,0,0,0
25/05/2022,0,0,0,0,0,0,0,0,0
26/05/2022,0,0,0,0,0,0,0,0,0
27/05/2022,0,0,0,0,0,0,0,0,0
28/05/2022,0,0,0,0,0,0,0,0,0
29/05/2022,0,0,0,0,0,0,0,0,0
30/05/2022,0,0,0,0,0,0,0,0,0
31/05/2022,0,0,0,0,0,0,0,0,0
01/06/2022,0,0,0,0,0,0,0,0,0
02/06/2022,0,0,0,0,0,0,0,0,0
03/06/2022,0,0,0,0,0,0,0,0,0
04/06/2022,0,0,0,0,0,0,0,0,0
05/06/2022,0,0,0,0,0,0,0,0,0
06/06/2022,0,0,0,0,0,0,0,0,0
07/06/2022,0,0,0,0,0,0,0,0,0
08/06/2022,0,0,0,0,0,0,0,0,0
09/06/2022,0,0,0,0,0,0,0,0,0
10/06/2022,0,0,0,0,0,0,0,0,0
11/06/2022,0,0,0,0,0,0,0,0,0
12/06/2022,0,0,0,0,0,0,0,0,0
13/06/2022,0,0,0,0,0,0,0,0,0
14/06/2022,0,0,0,0,0,0,0,0,0
15/06/2022,0,0,0,0,0,0,0,0,0
16/06/2022,0,0,0,0,0,0,0,0,0
17/06/2022,0,0,0,0,0,0,0,0,0
18/06/2022,0,0,0,0,0,0,0,0,0
19/06/2022,0,0,0,0,0,0,0,0,0
20/06/2022,0,0,0,0,0,0,0,0,0
21/06/2022,0,0,0,0,0,0,0,0,0
22/06/2022,0,0,0,0,0,0,0,0,0
23/06/2022,0,0,0,0,0,0,0,0,0
24/06/2022,0,0,0,0,0,0,0,0,0
25/06/2022,0,0,0,0,0,0,0,0,0
26/06/2022,0,0,0,0,0,0,0,0,0
27/06/2022,0,0,0,0,0,0,0,0,0
28/06/2022,0,0,0,0,0,0,0,0,1
29/06/2022,0,0,0,15,60,45,85,20,0
30/06/2022,0,0,0,0,5,22,23,0,0
01/07/2022,0,0,0,10,25,50,60,0,0
02/07/2022,0,0,0,0,0,0,0,0,0
03/07/2022,0,0,0,0,0,0,0,0,0
04/07/2022,0,0,0,0,0,0,0,0,0
05/07/2022,0,0,0,0,0,0,0,0,0
06/07/2022,0,0,0,0,0,0,0,0,0
07/07/2022,0,0,0,0,0,0,0,0,0
08/07/2022,0,0,0,0,0,0,0,0,0
09/07/2022,0,0,0,0,0,10,10,3,0
10/07/2022,0,0,0,0,0,0,0,0,0
11/07/2022,0,0,0,0,10,10,10,0,0
12/07/2022,0,0,0,0,3,8,5,0,0
13/07/2022,0,1,1,3,9,18,10,0,0
14/07/2022,0,5,12,15,25,30,25,13,0
15/07/2022,0,0,0,0,0,0,0,0,0
16/07/2022,0,0,0,0,0,0,0,0,0
17/07/2022,0,0,0,0,0,0,0,0,0
18/07/2022,0,0,0,0,0,0,0,0,0
19/07/2022,0,0,1,1,2,2,1,0,0
20/07/2022,0,0,0,0,0,2,2,0,0
21/07/2022,0,2,0,3,5,8,3,0,0
22/07/2022,0,0,5,0,5,19,10,0,0
23/07/2022,0,0,0,0,0,0,0,0,0
24/07/2022,0,0,0,0,0,0,0,0,0
25/07/2022,0,0,0,10,10,10,0,0,0
26/07/2022,0,0,0,0,5,10,6,2,4
27/07/2022,0,0,0,0,0,21,1,1,1
28/07/2022,0,0,0,0,0,2,6,1,0
29/07/2022,0,0,0,0,0,0,0,0,0
30/07/2022,0,0,0,20,20,0,0,0,0
31/07/2022,0,0,0,0,0,0,0,0,0
01/08/2022,0,0,0,0,15,0,1,0,0
02/08/2022,0,0,0,0,23,33,13,3,0
03/08/2022,0,0,0,105,75,95,70,20,0
04/08/2022,0,0,0,0,0,0,0,0,0
05/08/2022,0,0,0,0,0,0,0,0,0
06/08/2022,0,0,0,0,3,3,4,3,0
07/08/2022,0,0,0,0,0,0,0,0,0
08/08/2022,0,0,0,10,80,32,30,10,0
09/08/2022,0,0,0,0,0,0,0,0,0
10/08/2022,0,0,0,0,0,0,0,0,0
11/08/2022,0,0,0,0,0,0,0,0,0
12/08/2022,0,0,0,0,0,0,0,0,0
13/08/2022,0,0,0,0,0,0,0,0,0
14/08/2022,0,0,0,0,0,0,0,0,0
15/08/2022,0,0,0,0,0,0,0,0,0
16/08/2022,0,0,3,5,5,5,0,0,0
17/08/2022,0,3,2,19,20,8,2,5,1
18/08/2022,0,0,0,20,10,0,0,0,0
19/08/2022,0,0,0,0,0,0,0,0,0
20/08/2022,0,0,0,0,0,0,0,0,0
21/08/2022,0,0,0,0,0,0,0,0,0
22/08/2022,0,0,0,0,0,0,0,0,0
23/08/2022,0,0,0,10,10,10,0,3,0
24/08/2022,0,0,0,0,0,0,0,0,0
25/08/2022,0,0,0,0,0,0,0,0,0
26/08/2022,0,0,1,0,0,0,0,0,0
27/08/2022,0,0,0,0,0,0,0,0,0
28/08/2022,0,0,0,0,0,0,0,0,0
29/08/2022,0,0,0,0,4,4,6,6,0
30/08/2022,0,0,3,3,8,12,12,12,0
31/08/2022,0,2,10,15,10,32,10,0,0
01/09/2022,0,0,0,0,0,0,0,0,0
02/09/2022,0,0,0,0,0,0,0,0,0
03/09/2022,0,0,0,0,0,0,0,0,0
04/09/2022,0,0,0,1,0,1,0,0,0
05/09/2022,0,0,0,0,14,23,14,6,1
06/09/2022,0,0,0,1,220,222,40,0,0
07/09/2022,0,0,0,0,0,0,0,0,0
08/09/2022,0,1,20,32,32,32,30,20,0
09/09/2022,0,0,0,0,0,0,0,0,0
10/09/2022,0,0,0,0,0,0,0,0,0
11/09/2022,0,0,0,0,0,0,0,0,0
12/09/2022,0,0,0,0,51,4,2,0,0
13/09/2022,0,0,0,2,2,8,2,0,0
14/09/2022,0,0,10,10,10,10,0,0,0
15/09/2022,0,0,0,10,24,10,10,13,0
16/09/2022,0,0,0,0,0,0,0,0,0
17/09/2022,0,0,5,10,70,85,20,10,0
18/09/2022,0,0,0,0,5,5,10,0,0
19/09/2022,0,0,0,0,1,1,1,1,0
20/09/2022,0,0,0,1,3,3,3,0,0
21/09/2022,0,0,0,0,0,0,0,0,0
22/09/2022,0,0,0,4,6,6,6,0,0
23/09/2022,0,0,0,0,0,0,0,0,0
24/09/2022,0,0,0,0,0,0,0,1,0
25/09/2022,0,0,6,4,3,3,3,1,0
26/09/2022,0,1,0,0,0,0,0,0,0
27/09/2022,0,0,0,0,20,52,22,7,0
28/09/2022,0,0,0,0,28,42,25,0,0
29/09/2022,0,0,0,0,2,3,3,2,2
30/09/2022,0,0,0,0,0,0,0,0,0
01/10/2022,0,0,0,0,0,0,0,0,0
02/10/2022,0,0,0,0,0,1,4,0,0
03/10/2022,0,0,0,0,0,82,4,2,0
04/10/2022,0,0,0,0,0,6,0,0,0
05/10/2022,0,0,0,2,10,23,18,5,0
06/10/2022,0,0,0,0,0,10,10,0,0
07/10/2022,0,0,0,0,0,0,0,0,0
08/10/2022,0,0,0,0,11,10,0,0,0
09/10/2022,0,5,0,15,10,18,15,10,0
10/10/2022,0,0,0,0,0,20,0,0,0
11/10/2022,0,0,1,1,2,1,2,0,0
12/10/2022,0,0,5,5,5,7,2,0,0
13/10/2022,0,0,0,0,0,0,0,0,0
14/10/2022,0,0,0,0,0,0,0,0,0
15/10/2022,0,0,0,0,0,0,0,0,0
16/10/2022,0,0,7,15,21,58,30,17,0
17/10/2022,0,1,0,0,10,22,0,0,0
18/10/2022,0,0,10,0,18,33,21,15,1
19/10/2022,0,0,0,11,7,8,2,1,0
20/10/2022,0,4,0,0,0,0,0,0,0
21/10/2022,0,0,0,0,0,0,0,0,0
22/10/2022,0,0,0,0,6,20,20,0,0
23/10/2022,0,0,10,20,20,10,5,0,0
24/10/2022,2,0,0,12,12,15,15,2,1
25/10/2022,0,0,3,10,15,24,19,2,0
26/10/2022,0,0,0,0,5,23,38,23,5
27/10/2022,0,0,0,0,0,0,0,0,0
28/10/2022,0,0,0,0,0,0,0,0,0
29/10/2022,0,0,0,0,0,0,0,6,2
30/10/2022,0,1,3,4,18,17,10,0,0
31/10/2022,0,0,0,2,2,5,5,0,0
01/11/2022,0,0,1,1,9,10,7,2,0
02/11/2022,0,0,4,0,5,10,7,0,0
03/11/2022,0,0,0,0,0,0,0,6,2
04/11/2022,0,0,0,2,2,4,6,2,0
05/11/2022,0,0,0,0,0,0,0,0,0
06/11/2022,0,6,19,46,82,94,54,19,0
07/11/2022,0,0,3,0,4,6,9,4,0
08/11/2022,0,0,0,0,0,13,10,0,0
09/11/2022,0,0,0,0,0,5,10,20,0
10/11/2022,0,0,11,15,40,34,32,28,10
11/11/2022,0,0,0,0,0,0,0,0,0
12/11/2022,0,0,0,0,0,0,0,12,4
13/11/2022,0,0,0,0,0,10,10,20,0
14/11/2022,0,0,0,0,10,70,20,0,0
15/11/2022,0,0,0,0,0,2,11,11,0
16/11/2022,0,2,0,25,26,21,6,4,2
17/11/2022,0,0,0,0,18,20,25,20,10
18/11/2022,0,0,0,0,0,0,0,0,0
19/11/2022,0,0,0,2,5,11,6,5,0
20/11/2022,0,0,0,10,28,31,12,12,0
21/11/2022,0,0,3,5,25,25,15,3,0
22/11/2022,0,0,0,2,7,3,4,3,0
23/11/2022,0,0,0,9,21,23,18,1,5
24/11/2022,0,0,0,0,0,0,0,0,0
25/11/2022,0,0,0,2,0,12,5,0,0
26/11/2022,0,0,6,10,0,0,0,0,0
27/11/2022,0,0,0,2,5,14,14,0,0
28/11/2022,1,0,0,0,13,63,5,0,0
29/11/2022,0,3,2,3,15,21,18,2,0
30/11/2022,0,0,0,0,0,0,0,0,0
01/12/2022,3,3,3,6,6,3,2,1,0
02/12/2022,0,0,0,0,2,6,2,2,0
03/12/2022,0,0,0,2,22,10,3,0,0
04/12/2022,0,5,6,8,8,18,5,0,0
05/12/2022,0,0,0,3,88,98,148,26,0
06/12/2022,0,0,0,2,6,2,1,0,0
07/12/2022,0,0,80,1,1,1,1,0,0
08/12/2022,0,0,0,0,0,0,0,0,0
09/12/2022,0,0,0,0,0,0,0,0,0
10/12/2022,0,0,0,0,0,0,0,0,0
11/12/2022,0,0,0,0,0,0,0,0,0
12/12/2022,0,0,0,2,2,0,9,10,1
13/12/2022,0,0,0,5,10,10,11,0,0
14/12/2022,0,6,0,8,20,24,31,6,0
15/12/2022,0,0,0,0,0,10,20,0,0
16/12/2022,0,0,0,0,0,0,0,0,0
17/12/2022,0,0,0,3,10,17,20,0,0
18/12/2022,0,0,0,0,0,14,15,13,0
19/12/2022,0,0,0,1,21,23,1,0,0
20/12/2022,0,0,0,0,0,0,0,0,0
21/12/2022,0,0,10,20,47,20,15,2,0
22/12/2022,0,0,0,0,0,0,0,0,0
23/12/2022,0,0,0,0,0,0,0,0,0
24/12/2022,0,0,0,0,0,0,0,0,0
25/12/2022,0,0,0,0,0,0,0,0,0
26/12/2022,0,0,0,0,0,0,0,0,0
27/12/2022,0,0,0,0,0,0,0,0,0
28/12/2022,0,0,0,0,0,0,0,0,0
29/12/2022,0,0,0,0,0,0,0,0,0
30/12/2022,0,0,0,0,0,0,0,0,0
31/12/2022,0,0,0,0,0,0,0,0,0
01/01/2023,0,0,0,2,4,5,2,0,0
02/01/2023,0,0,0,0,0,0,0,0,0
03/01/2023,0,0,0,0,0,0,0,0,0
04/01/2023,0,0,0,0,5,5,0,0,0
05/01/2023,0,0,0,0,0,0,0,0,0
06/01/2023,0,0,0,0,0,0,0,0,0
07/01/2023,0,0,0,0,0,0,0,0,0
08/01/2023,0,0,0,0,2,6,2,0,0
09/01/2023,0,0,0,0,0,0,0,0,0
10/01/2023,0,0,0,5,40,60,25,25,0
11/01/2023,0,0,0,0,0,0,0,0,1
12/01/2023,0,0,0,0,0,10,0,0,0
13/01/2023,0,0,0,0,0,0,0,0,0
14/01/2023,0,0,0,0,0,0,0,0,0
15/01/2023,0,0,0,0,0,4,0,0,0
16/01/2023,0,0,0,0,70,0,0,0,0
17/01/2023,0,0,0,0,0,4,0,0,0
18/01/2023,0,0,1,0,5,30,5,0,0
19/01/2023,0,0,0,0,0,0,0,0,0
20/01/2023,0,0,0,0,0,0,0,0,0
21/01/2023,0,0,0,6,0,10,0,0,0
22/01/2023,0,0,0,0,1,0,0,0,1
23/01/2023,0,0,0,0,0,7,7,0,0
24/01/2023,2,4,2,2,2,0,0,0,0
25/01/2023,0,0,0,10,80,10,0,0,0
26/01/2023,0,0,0,0,0,1,0,0,0
27/01/2023,0,0,0,0,0,0,0,0,0
28/01/2023,0,0,0,0,0,0,0,0,0
29/01/2023,0,0,0,20,21,22,26,24,1
30/01/2023,0,0,0,1,26,30,6,0,0
31/01/2023,0,0,5,7,21,33,18,13,5
01/02/2023,0,0,0,0,5,0,5,5,0
02/02/2023,0,0,0,0,0,0,0,0,0
03/02/2023,0,0,0,0,0,0,0,0,0
04/02/2023,0,0,0,40,0,128,140,84,41
05/02/2023,10,20,100,100,186,185,54,44,0
06/02/2023,0,0,1,8,15,19,19,12,2
07/02/2023,0,0,0,0,21,25,25,20,0
08/02/2023,0,0,0,0,18,38,38,0,0
09/02/2023,0,0,0,0,0,8,3,1,0
10/02/2023,0,0,0,0,0,0,0,0,0
11/02/2023,0,0,10,10,10,10,0,0,0
12/02/2023,0,0,0,0,0,0,0,0,0
13/02/2023,0,3,2,8,26,43,44,10,0
14/02/2023,0,0,0,0,0,42,301,0,0
15/02/2023,0,10,10,17,23,49,76,35,0
16/02/2023,0,0,3,0,0,0,0,0,0
17/02/2023,0,0,0,0,60,140,130,0,0
18/02/2023,0,0,0,7,0,0,0,0,0
19/02/2023,0,0,0,2,8,22,15,15,10
20/02/2023,0,0,0,4,6,7,7,2,1
21/02/2023,0,0,0,0,8,21,6,3,1
22/02/2023,0,1,0,5,20,0,4,0,1
23/02/2023,0,0,0,0,10,15,15,5,0
24/02/2023,0,0,5,15,20,20,20,20,0
25/02/2023,0,0,2,5,2,3,2,2,2
26/02/2023,0,0,0,13,56,57,13,3,0
27/02/2023,0,0,3,3,13,11,5,0,0
28/02/2023,0,3,3,6,7,7,9,7,0
01/03/2023,0,7,14,32,37,54,29,15,4
02/03/2023,0,0,0,0,4,8,0,4,0
03/03/2023,0,0,1,0,2,4,2,2,0
04/03/2023,0,0,0,0,0,0,0,0,0
05/03/2023,0,1,9,15,30,30,15,3,1
06/03/2023,0,0,0,10,20,20,20,20,0
07/03/2023,1,0,6,5,5,10,9,0,0
08/03/2023,0,0,0,0,5,13,10,2,0
09/03/2023,0,0,0,0,9,7,6,3,0
10/03/2023,0,0,0,0,0,0,0,0,0
11/03/2023,0,0,0,3,3,3,3,0,0
12/03/2023,0,0,0,0,1,3,0,0,0
13/03/2023,0,0,0,0,4,10,10,4,0
14/03/2023,0,0,0,0,0,4,0,0,0
15/03/2023,0,0,0,0,2,14,12,10,12
16/03/2023,0,0,0,1,5,6,5,0,0
17/03/2023,0,0,0,0,0,0,0,0,0
18/03/2023,0,0,0,15,15,17,7,0,0
19/03/2023,0,0,1,1,1,1,2,0,0
20/03/2023,0,0,0,0,30,30,20,0,0
21/03/2023,0,0,0,5,8,263,15,6,0
22/03/2023,0,0,0,0,31,0,0,0,0
23/03/2023,0,0,2,3,5,6,6,2,0
24/03/2023,0,0,0,0,3,7,7,3,0
25/03/2023,0,0,0,0,10,10,5,0,0
26/03/2023,0,0,5,2,13,15,15,6,0
27/03/2023,0,0,0,0,3,0,0,8,0
28/03/2023,0,0,0,2,1,0,0,0,1
29/03/2023,0,0,0,2,4,6,35,0,0
30/03/2023,0,0,0,0,0,0,0,0,0
31/03/2023,0,0,1,1,7,7,7,3,1
01/04/2023,0,0,0,0,0,0,0,0,0
02/04/2023,0,10,5,80,78,172,173,103,0
03/04/2023,0,0,0,4,3,4,15,0,0
04/04/2023,0,0,0,5,0,2,1,1,0
05/04/2023,0,0,0,0,0,0,0,0,0
06/04/2023,0,0,0,0,0,0,0,0,0
07/04/2023,0,0,0,0,0,0,0,0,0
08/04/2023,0,0,0,0,0,0,0,0,0
09/04/2023,0,0,0,0,12,18,10,5,0
10/04/2023,0,0,0,0,0,0,0,0,0
11/04/2023,0,0,0,5,5,10,10,10,0
12/04/2023,0,0,0,10,40,0,0,0,0
13/04/2023,0,0,0,0,0,0,0,0,0
14/04/2023,0,0,0,0,0,0,0,0,0
15/04/2023,0,0,0,0,27,20,0,1,0
16/04/2023,0,40,70,60,50,65,30,30,0
17/04/2023,0,5,10,0,10,0,0,0,0
18/04/2023,0,0,0,0,17,7,4,0,0
19/04/2023,0,2,5,8,7,6,1,0,0
20/04/2023,0,0,0,0,0,0,0,0,0
21/04/2023,0,0,2,0,3,10,5,0,0
22/04/2023,0,0,2,2,2,2,6,3,0
23/04/2023,0,0,0,2,6,6,0,0,0
24/04/2023,0,0,0,10,74,10,0,0,0
25/04/2023,0,0,0,0,0,0,0,0,0
26/04/2023,0,1,0,1,0,6,7,7,0
27/04/2023,0,0,0,0,0,0,0,0,0
28/04/2023,0,0,0,0,0,0,0,0,0
29/04/2023,0,0,2,2,2,3,5,2,0
30/04/2023,0,0,5,1,3,4,2,0,0
01/05/2023,0,0,0,0,2,8,0,0,0
02/05/2023,0,0,0,2,2,4,6,2,0
03/05/2023,0,0,0,0,5,7,8,0,0
04/05/2023,0,0,0,2,13,27,20,10,0
05/05/2023,0,0,0,0,0,0,0,0,0
06/05/2023,0,0,0,0,0,0,0,0,0
07/05/2023,0,0,0,0,0,0,0,0,0
08/05/2023,0,0,0,0,0,0,0,0,0
09/05/2023,0,0,0,0,0,0,0,0,0
10/05/2023,0,0,3,7,19,42,7,5,0
11/05/2023,0,0,0,1,0,0,0,0,0
12/05/2023,0,0,0,0,0,0,0,0,0
13/05/2023,0,0,0,0,20,20,0,0,0
14/05/2023,0,0,0,0,0,5,5,5,0
15/05/2023,0,0,0,0,0,11,72,70,0
16/05/2023,0,0,1,3,16,41,25,12,2
17/05/2023,0,0,0,0,0,40,8,0,0
18/05/2023,0,0,10,20,32,62,20,10,0
19/05/2023,0,0,0,0,0,0,0,0,0
20/05/2023,0,0,0,0,0,0,0,0,0
21/05/2023,0,0,0,5,30,39,2,0,0
22/05/2023,0,0,0,0,0,0,0,0,0
23/05/2023,0,1,2,4,10,12,5,2,2
24/05/2023,0,0,0,4,8,6,4,0,0
25/05/2023,0,0,0,0,0,0,0,0,0
26/05/2023,0,0,0,0,0,0,0,0,0
27/05/2023,0,0,5,0,0,5,0,0,0
28/05/2023,0,0,0,0,18,32,27,8,6
29/05/2023,0,0,0,0,3,10,4,2,0
